timestamp	person_id	nose	neck	rshoulder	relbow	rwrist	lshoulder	lelbow	lwrist	midhip	rhip	rknee	rankle	lhip	lknee	lankle	reye	leye	rear	lear	lbigtoe	lsmalltoe	lheel	rbigtoe	rsmalltoe	rheel	background
1712928192.80674	0	348.475,57.1528,19,0.835349	348.491,72.4708,19,0.949474	344.471,72.4436,19,0.933173	336.986,91.2571,20,0.799464	325.727,106.565,22,0.782462	367.203,72.5215,19,0.863316	371.124,94.9545,20,0.830077	371.058,106.56,21,0.843851	348.305,110.287,20,0.908161	344.42,110.228,21,0.898606	344.372,144.191,22,0.805289	344.309,166.903,23,0.782773	352.224,113.863,20,0.849783	348.297,147.905,22,0.887264	344.684,167.064,23,0.830252	348.307,49.8158,21,0.862539	348.616,49.749,21,0.821781	344.706,53.5272,21,0.690378	355.973,53.5031,19,0.602807	344.569,178.255,23,0.605272	348.211,178.148,23,0.588771	344.579,174.441,23,0.629071	340.845,174.485,23,0.664452	340.703,174.401,23,0.651394	340.718,170.704,23,0.570717
1712928192.80674	1	0,0,0,0	480,253.834,15,0.244038	480,253.899,15,0.212884	480,272.722,15,0.160586	480,283.974,14,0.124653	480,253.787,15,0.242796	480,265.184,15,0.185912	480,280.386,15,0.123552	480,283.973,14,0.329551	480,284.022,14,0.325224	480,303.007,13,0.277489	480,318.222,13,0.267514	480,283.948,14,0.321845	480,302.97,13,0.276006	480,318.167,13,0.300604	0,0,0,0	0,0,0,0	480,253.619,15,0.0589075	480,242.472,15,0.0626896	480,322.06,12,0.185304	480,322.036,12,0.166662	480,321.919,12,0.255351	480,321.908,12,0.222627	480,321.979,12,0.205827	480,329.459,12,0.207256
1712928192.852872	0	348.473,53.5103,20,0.844185	348.495,72.4575,19,0.94726	344.457,72.424,19,0.927437	336.935,91.2364,20,0.787283	325.728,106.527,22,0.791343	367.226,72.5164,19,0.863902	371.126,94.9554,20,0.823568	371.044,106.501,21,0.850611	348.287,110.265,20,0.90959	344.388,110.205,20,0.894262	344.367,144.137,22,0.800189	344.325,166.901,24,0.761421	352.226,110.305,20,0.8514	348.264,147.877,23,0.887969	344.662,167.046,24,0.815525	348.314,49.7699,20,0.87191	348.631,49.7199,20,0.830065	344.697,53.4671,20,0.696474	356.003,53.4864,19,0.613784	344.556,178.23,23,0.589301	348.203,174.492,23,0.578359	344.564,174.422,23,0.616268	344.37,174.492,23,0.634928	340.762,174.397,23,0.621617	340.742,170.699,23,0.553627
1712928192.852872	1	0,0,0,0	480,253.739,15,0.196239	480,253.838,15,0.170589	480,268.914,15,0.126121	480,280.37,15,0.0988732	480,253.747,15,0.185553	480,261.508,15,0.146278	480,280.193,15,0.0963056	480,283.846,14,0.242673	480,283.881,14,0.240474	480,295.512,14,0.220131	480,318.077,13,0.220367	480,280.386,15,0.239754	480,295.461,14,0.220392	480,318.087,13,0.242864	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	480,321.906,13,0.149241	480,321.893,13,0.133765	480,321.915,13,0.200218	480,318.301,13,0.173578	0,0,0,0	480,325.685,12,0.168625
1712928192.900198	0	348.464,53.5211,20,0.85585	348.481,72.4818,19,0.960339	344.426,72.4453,19,0.938576	333.301,91.309,20,0.805113	325.633,106.566,22,0.800994	367.228,72.5304,19,0.870753	374.584,94.9543,21,0.844151	371.089,106.536,20,0.864293	348.277,113.874,21,0.904128	344.37,110.27,20,0.886916	344.319,147.896,22,0.798908	340.815,166.936,23,0.76983	352.23,113.912,21,0.849558	348.291,147.983,22,0.885212	344.64,167.063,23,0.812081	348.309,49.7948,20,0.882737	352.057,49.7321,19,0.840868	344.687,53.5061,21,0.70611	356.012,53.4735,19,0.643374	344.55,178.244,23,0.584319	348.206,174.512,23,0.569298	344.543,174.382,23,0.61673	340.832,178.138,23,0.649188	340.674,174.437,23,0.639195	340.653,170.711,23,0.57092
1712928192.94667	0	348.472,53.4987,19,0.86159	348.48,72.4792,19,0.960747	344.401,72.4407,19,0.93743	333.213,94.9211,20,0.807263	321.969,110.082,22,0.815138	367.233,72.5213,19,0.871913	374.581,94.9616,21,0.841382	371.082,106.567,21,0.854797	348.263,113.882,21,0.904701	344.339,110.284,20,0.883013	344.326,147.962,22,0.800382	340.83,167.005,25,0.772055	352.23,113.914,21,0.851812	348.297,151.653,23,0.883329	344.648,170.605,23,0.817977	348.314,49.7758,19,0.890398	352.082,49.7113,19,0.846403	344.684,53.4861,20,0.726802	356.029,53.4541,19,0.638365	344.58,181.931,23,0.587583	348.21,178.179,23,0.573414	344.549,174.45,23,0.620705	344.376,178.256,23,0.654092	340.718,174.534,23,0.641412	340.676,170.787,24,0.569371
1712928192.94667	1	0,0,0,0	480,253.671,15,0.171143	480,253.8,15,0.146069	480,272.66,15,0.108516	480,283.983,15,0.0880203	480,253.711,15,0.164063	480,265.199,15,0.129129	480,280.373,15,0.0871697	480,283.987,15,0.240745	480,284.02,14,0.236246	480,302.945,13,0.201906	480,318.174,12,0.202124	480,283.96,15,0.235428	480,299.276,13,0.201357	480,318.214,12,0.222752	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	480,321.987,12,0.132911	480,321.974,12,0.123091	480,321.986,12,0.187637	480,321.845,12,0.158837	480,321.941,12,0.147396	480,325.78,12,0.152984
1712928192.992696	0	348.473,53.4343,20,0.88434	348.465,72.4522,19,0.969112	344.347,72.4034,19,0.935542	333.173,91.2859,21,0.817257	321.97,106.561,22,0.839052	367.256,72.4732,19,0.881335	374.607,94.9425,21,0.860235	371.114,106.542,21,0.893665	348.281,110.286,21,0.914418	344.346,110.227,21,0.896679	344.32,147.941,21,0.802194	340.826,166.975,24,0.818861	352.25,113.861,21,0.860466	348.331,151.655,22,0.89247	344.649,170.611,23,0.854948	348.306,49.7072,20,0.921777	352.138,49.6625,19,0.869865	344.643,53.4018,21,0.759592	359.706,53.4185,19,0.661813	344.541,181.928,23,0.619707	344.708,178.217,23,0.608594	344.575,174.459,23,0.661266	340.831,178.241,23,0.677539	340.676,174.527,23,0.665975	340.683,170.772,24,0.607548
1712928192.992696	1	0,0,0,0	480,253.782,15,0.282156	480,253.883,15,0.24748	480,272.75,15,0.187372	480,284.033,14,0.150805	480,253.749,15,0.287328	480,261.534,15,0.225203	480,283.884,14,0.149474	480,284.005,14,0.393009	480,284.054,14,0.381871	480,306.699,13,0.325834	480,318.315,13,0.301318	480,283.975,14,0.389119	480,306.675,13,0.316617	480,318.279,13,0.329826	0,0,0,0	0,0,0,0	480,250.036,15,0.0649972	480,242.408,16,0.0732978	480,325.746,12,0.204196	480,325.713,12,0.182964	480,325.658,12,0.274982	480,322.038,12,0.248886	0,0,0,0	480,329.518,12,0.233294
1712928193.038799	0	348.487,53.5124,20,0.859974	348.498,72.4827,19,0.960842	344.418,72.4428,19,0.939091	336.9,91.3063,20,0.810488	322.042,106.586,22,0.811678	367.267,72.5201,19,0.874851	374.594,94.9622,20,0.844991	371.088,106.552,21,0.861954	348.279,113.864,20,0.907729	344.364,110.261,20,0.891146	344.33,147.933,22,0.800868	340.837,166.977,23,0.775296	352.239,113.902,20,0.852421	348.316,151.658,22,0.8856	344.673,170.6,23,0.818967	348.33,49.7838,20,0.890338	352.104,49.7245,19,0.844207	344.693,53.4899,21,0.732085	359.662,53.4739,19,0.638958	344.588,181.922,23,0.588107	348.226,178.182,23,0.572734	344.582,174.449,23,0.627654	340.85,178.187,23,0.661326	340.697,174.486,23,0.646793	340.686,170.772,23,0.570083
